contrast,parcel,t_stat,p_value,native_mean,native_sd,native_se,native_ci_lower,native_ci_upper,l2_mean,l2_sd,l2_se,l2_ci_lower,l2_ci_upper,n_native,n_l2,p_fdr,significant_fdr
fake_vs_rest,155,-1.2362957742646303,0.22733531764322087,0.07405483005344188,1.5332033499031508,0.3958714027016217,-0.7750048845883444,0.9231145446952282,0.6893405722760383,1.1681786784038666,0.30162243779018433,0.042424782926335,1.3362563616257415,15,15,0.5683382941080521,False
fake_vs_rest,49,-1.2226496581142992,0.2316541056890088,-0.37183121989462514,1.2952058440167618,0.33442071091916264,-1.0890923088380533,0.3454298690488031,0.20581816445082476,1.292546329664925,0.3337340272662518,-0.5099701345350295,0.9216064634366791,15,15,0.5712019044386518,False
fake_vs_rest,91,-1.1706448873810948,0.25313045669969153,-0.6924297088098741,0.7550443238974243,0.19495160614021084,-1.110559318447593,-0.2743000991721551,-0.2775026642469751,1.1464541484983373,0.29601318828829765,-0.9123878099358222,0.357382481441872,15,15,0.6136218265122366,False
fake_vs_rest,176,1.152481386649033,0.2588685620821182,0.8915700344932925,1.0628351976001669,0.27442286800456767,0.30299152033687116,1.480148548649714,0.4428105263340998,1.0699051472974017,0.276248321166962,-0.14968319546444242,1.035304248132642,15,15,0.6136218265122366,False
fake_vs_rest,21,-1.1523310387029517,0.2590847711940555,-0.5279530301498107,1.2158731246247814,0.3139370908515302,-1.2012811234518148,0.1453750631521935,0.019641073333194706,1.3816501897918818,0.35674054502321834,-0.7454912986731459,0.7847734453395354,15,15,0.6136218265122366,False
fake_vs_rest,138,-1.1477987087482902,0.26274428835294356,-0.9483784744626126,0.9101716924670656,0.2350053204742909,-1.452414757405729,-0.44434219151949617,-0.43204056546884834,1.485621279541812,0.3835857649624527,-1.2547502078350845,0.3906690768973879,15,15,0.6142074273185694,False
fake_vs_rest,4,1.114076488525429,0.2750563764074195,-0.25581420494303225,1.7330344028882292,0.4474675587193751,-1.2155366681594262,0.7039082582733618,-0.90214563600951,1.430105385069071,0.3692516226462705,-1.6941116007532793,-0.1101796712657408,15,15,0.6325056108787472,False
fake_vs_rest,66,1.1097750470752268,0.27759968477456126,1.2960052861297084,1.2817914890952824,0.3309571393717623,0.5861728193337954,2.0058377529256215,0.8468556866319656,0.902219782381579,0.232952146118849,0.34722302471437516,1.3464883485495562,15,15,0.6325056108787472,False
fake_vs_rest,77,1.0700454154781835,0.2941331251761235,0.6213554399514138,1.2010115313726433,0.31009984397395424,-0.043742577329311194,1.2864534572321389,0.09361964842490132,1.4853007203461877,0.38350299693404427,-0.7289124741758192,0.9161517710256218,15,15,0.6578091997535257,False
fake_vs_rest,47,-1.064931761261529,0.2960141398890866,-0.7515234470132415,1.3769461445553939,0.3555259657658367,-1.5140508055969288,0.011003911570446001,-0.22465601265635715,1.3325079594242304,0.3440520757025915,-0.9625743245737639,0.5132622992610496,15,15,0.6578091997535257,False
fake_vs_rest,136,-1.0359588624014036,0.3090861103978568,-0.4076221843820535,0.9740840375862702,0.2515074170252069,-0.9470519443303089,0.13180757556620187,-0.03835796438059492,0.9782510369939837,0.2525833316458556,-0.5800953316845538,0.503379402923364,15,15,0.6784817057513929,False
fake_vs_rest,31,-1.0276263187325547,0.31297564994337845,-0.018514121703409936,1.6582365353315431,0.42815483236078355,-0.9368149065184974,0.8997866631116775,0.5805923788140597,1.5325118804748645,0.3956928660629441,-0.2680844128217854,1.4292691704499048,15,15,0.6787423733711822,False
fake_vs_rest,13,1.005213173107271,0.3234344727953785,0.40136309275979726,2.023926911341518,0.522575681437781,-0.7194502722175304,1.522176457737125,-0.3198351643667589,1.903919668981755,0.49158994469887163,-1.3741907336711483,0.7345204049376304,15,15,0.6856536049272254,False
fake_vs_rest,97,1.0055396683347546,0.32378086899341196,-0.22942373757050763,0.9602729137225422,0.24794140017743183,-0.7612051520547644,0.30235767691374915,-0.6365281098001626,1.2395843397314237,0.3200593002666214,-1.3229870363562992,0.049930816755974106,15,15,0.6856536049272254,False
fake_vs_rest,68,-0.9911899449213972,0.33009175191875023,0.17001985448661144,1.5095585297224339,0.3897663363826893,-0.6659457951854735,1.0059855041586963,0.7260728816235328,1.5626807398699105,0.40348243206368317,-0.1393108674753546,1.59145663072242,15,15,0.6908897133183144,False
fake_vs_rest,10,0.9453390122791877,0.3527393668250175,-0.29213895655752625,0.939246794463273,0.24251247952899713,-0.8122764943052583,0.22799858119020572,-0.5952430422599505,0.81232370470842,0.2097410786710148,-1.045092915703064,-0.14539316881683712,15,15,0.7217001639351456,False
fake_vs_rest,98,-0.9312262442746021,0.36044159083517435,-0.46974549384406694,1.1980095989800166,0.309324748363082,-1.1331810963767297,0.19369010868859582,0.019724120901777494,1.6458714909006242,0.42496219161704596,-0.8917291305468377,0.9311773723503926,15,15,0.7217001639351456,False
fake_vs_rest,11,0.931220191163555,0.36057268707006235,-0.7606468181966334,1.3672664118644415,0.35302666953198353,-1.5178137194887893,-0.0034799169044773537,-1.1633664605740413,0.9674529806576596,0.24979528548838945,-1.6991240635941662,-0.6276088575539162,15,15,0.7217001639351456,False
fake_vs_rest,28,0.9312654859821433,0.3608500819675728,0.07801425686477198,1.1449746622504031,0.29563118658168486,-0.5560515766489702,0.712080090378514,-0.25272373172973667,0.762230283942068,0.19680701304550535,-0.6748327933986021,0.1693853299391288,15,15,0.7217001639351456,False
