contrast,parcel,group1,group2,meandiff,p-adj,lower,upper,reject
real_vs_rest_in_positive,145,L2_High,L2_Low,0.4506,0.6095,-0.7164,1.6176,False
real_vs_rest_in_positive,145,L2_High,Native,-1.1744,0.0173,-2.1616,-0.1873,True
real_vs_rest_in_positive,145,L2_Low,Native,-1.625,0.0016,-2.6572,-0.5929,True
real_vs_rest_in_positive,12,L2_High,L2_Low,-0.3069,0.8207,-1.5728,0.959,False
real_vs_rest_in_positive,12,L2_High,Native,-1.6107,0.0025,-2.6815,-0.5398,True
real_vs_rest_in_positive,12,L2_Low,Native,-1.3038,0.02,-2.4234,-0.1841,True
real_vs_rest_in_positive,167,L2_High,L2_Low,-1.3618,0.0068,-2.3743,-0.3494,True
real_vs_rest_in_positive,167,L2_High,Native,-1.2669,0.0029,-2.1234,-0.4105,True
real_vs_rest_in_positive,167,L2_Low,Native,0.0949,0.9627,-0.8006,0.9904,False
real_vs_rest_in_positive,80,L2_High,L2_Low,0.1996,0.9171,-1.0475,1.4468,False
real_vs_rest_in_positive,80,L2_High,Native,-1.3125,0.0125,-2.3674,-0.2575,True
real_vs_rest_in_positive,80,L2_Low,Native,-1.5121,0.0058,-2.6151,-0.4091,True
real_vs_rest_in_positive,175,L2_High,L2_Low,-0.1485,0.946,-1.3071,1.0101,False
real_vs_rest_in_positive,175,L2_High,Native,-1.363,0.0051,-2.3431,-0.383,True
real_vs_rest_in_positive,175,L2_Low,Native,-1.2146,0.0177,-2.2393,-0.1899,True
real_vs_rest_in_positive,82,L2_High,L2_Low,-0.8654,0.1682,-2.0158,0.285,False
real_vs_rest_in_positive,82,L2_High,Native,-1.5357,0.0016,-2.5089,-0.5626,True
real_vs_rest_in_positive,82,L2_Low,Native,-0.6703,0.2492,-1.6878,0.3471,False
real_vs_rest_in_positive,100,L2_High,L2_Low,-1.4185,0.0068,-2.4731,-0.364,True
real_vs_rest_in_positive,100,L2_High,Native,-1.2749,0.004,-2.1669,-0.3828,True
real_vs_rest_in_positive,100,L2_Low,Native,0.1437,0.923,-0.789,1.0764,False
real_vs_rest_in_positive,99,L2_High,L2_Low,-1.5666,0.0025,-2.6069,-0.5264,True
real_vs_rest_in_positive,99,L2_High,Native,-1.0603,0.0158,-1.9403,-0.1804,True
real_vs_rest_in_positive,99,L2_Low,Native,0.5063,0.3732,-0.4137,1.4263,False
real_vs_rest_in_positive,109,L2_High,L2_Low,-0.7047,0.3482,-1.9406,0.5312,False
real_vs_rest_in_positive,109,L2_High,Native,-1.5438,0.003,-2.5893,-0.4984,True
real_vs_rest_in_positive,109,L2_Low,Native,-0.8392,0.1571,-1.9322,0.2539,False
real_vs_rest_in_positive,106,L2_High,L2_Low,-1.3407,0.0174,-2.4688,-0.2125,True
real_vs_rest_in_positive,106,L2_High,Native,-1.3564,0.0042,-2.3107,-0.4021,True
real_vs_rest_in_positive,106,L2_Low,Native,-0.0157,0.9992,-1.0134,0.9821,False
real_vs_rest_in_positive,85,L2_High,L2_Low,-0.1243,0.9665,-1.3627,1.1141,False
real_vs_rest_in_positive,85,L2_High,Native,-1.3423,0.01,-2.3898,-0.2947,True
real_vs_rest_in_positive,85,L2_Low,Native,-1.218,0.027,-2.3133,-0.1227,True
fake_vs_rest_in_negative,125,L2_High,L2_Low,0.3284,0.8265,-1.0512,1.7079,False
fake_vs_rest_in_negative,125,L2_High,Native,2.0203,0.0006,0.8533,3.1873,True
fake_vs_rest_in_negative,125,L2_Low,Native,1.6919,0.0053,0.4718,2.9121,True
fake_vs_rest_in_negative,129,L2_High,L2_Low,-0.12,0.968,-1.3449,1.1049,False
fake_vs_rest_in_negative,129,L2_High,Native,1.5676,0.0024,0.5314,2.6037,True
fake_vs_rest_in_negative,129,L2_Low,Native,1.6876,0.0018,0.6042,2.7709,True
fake_vs_rest_in_negative,107,L2_High,L2_Low,0.1657,0.9512,-1.1964,1.5278,False
fake_vs_rest_in_negative,107,L2_High,Native,1.7619,0.0021,0.6097,2.9141,True
fake_vs_rest_in_negative,107,L2_Low,Native,1.5962,0.0077,0.3915,2.8009,True
fake_vs_rest_in_negative,79,L2_High,L2_Low,-0.1957,0.9398,-1.6393,1.248,False
fake_vs_rest_in_negative,79,L2_High,Native,1.6316,0.0072,0.4105,2.8528,True
fake_vs_rest_in_negative,79,L2_Low,Native,1.8273,0.004,0.5505,3.1041,True
fake_vs_rest_in_negative,123,L2_High,L2_Low,-0.0709,0.9858,-1.1622,1.0204,False
fake_vs_rest_in_negative,123,L2_High,Native,1.2434,0.0067,0.3202,2.1666,True
fake_vs_rest_in_negative,123,L2_Low,Native,1.3143,0.0061,0.3491,2.2795,True
fake_vs_rest_in_negative,139,L2_High,L2_Low,-0.1853,0.9298,-1.4479,1.0773,False
fake_vs_rest_in_negative,139,L2_High,Native,1.3718,0.0098,0.3037,2.4398,True
fake_vs_rest_in_negative,139,L2_Low,Native,1.5571,0.005,0.4404,2.6738,True
fake_vs_rest_in_negative,175,L2_High,L2_Low,0.7532,0.3699,-0.6092,2.1157,False
fake_vs_rest_in_negative,175,L2_High,Native,1.7911,0.0018,0.6386,2.9436,True
fake_vs_rest_in_negative,175,L2_Low,Native,1.0378,0.1014,-0.1671,2.2428,False
fake_vs_rest_in_negative,81,L2_High,L2_Low,-0.552,0.6279,-2.0277,0.9237,False
fake_vs_rest_in_negative,81,L2_High,Native,1.3502,0.032,0.1019,2.5985,True
fake_vs_rest_in_negative,81,L2_Low,Native,1.9022,0.0034,0.5971,3.2074,True
