parcel	section	section_num	lh_R	lh_G	lh_B	rh_R	rh_G	rh_B	s_R	s_G	s_B	Parcel Number
7Am	Superior_Parietal_and_IPS	16	0.721569	0.952941	0.878431	0.662745	0.976471	0.847059	0	1	0.752941	45
7PL	Superior_Parietal_and_IPS	16	0.662745	0.964706	0.929412	0.603922	0.992157	0.890196	0	1	0.752941	46
7PC	Superior_Parietal_and_IPS	16	0.266667	0.694118	0.423529	0.278431	0.713726	0.415686	0	1	0.752941	47
LIPv	Superior_Parietal_and_IPS	16	0.247059	0.443137	0.619608	0.239216	0.505882	0.670588	0	1	0.752941	48
VIP	Superior_Parietal_and_IPS	16	0.196078	0.505882	0.537255	0.211765	0.537255	0.576471	0	1	0.752941	49
MIP	Superior_Parietal_and_IPS	16	0.533333	0.807843	0.8	0.494118	0.823529	0.772549	0	1	0.752941	50
1	Somatosensory_and_Motor_Cortex	6	0.0784314	0.74902	0.14902	0.109804	0.780392	0.172549	0	1	0	51
2	Somatosensory_and_Motor_Cortex	6	0.188235	0.690196	0.243137	0.2	0.72549	0.270588	0	1	0	52
3a	Somatosensory_and_Motor_Cortex	6	0.184314	0.847059	0.0862745	0.172549	0.882353	0.113725	0	1	0	53
6d	Premotor_Cortex	8	0.101961	0.619608	0.12549	0.121569	0.647059	0.160784	0.501961	1	0.501961	54
6mp	Paracentral_Lobular_and_Mid_Cingulate_Cortex	7	0.25098	0.623529	0.14902	0.262745	0.639216	0.184314	0.752941	1	0.501961	55
6v	Premotor_Cortex	8	0.278431	0.658824	0.196078	0.34902	0.72549	0.258824	0.501961	1	0.501961	56
p24pr	Anterior_Cingulate	19	0.572549	0.533333	0.419608	0.596078	0.580392	0.470588	0.376471	0.25098	0.12549	57
33pr	Anterior_Cingulate	19	0.505882	0.415686	0.403922	0.458824	0.376471	0.380392	0.376471	0.25098	0.12549	58
a24pr	Anterior_Cingulate	19	0.690196	0.521569	0.509804	0.690196	0.52549	0.517647	0.376471	0.25098	0.12549	59
p32pr	Anterior_Cingulate	19	0.639216	0.556863	0.47451	0.690196	0.584314	0.52549	0.376471	0.25098	0.12549	60
a24	Anterior_Cingulate	19	0.262745	0.0470588	0.0980392	0.286275	0.0705882	0.14902	0.376471	0.25098	0.12549	61
d32	Anterior_Cingulate	19	0.352941	0.160784	0.196078	0.427451	0.180392	0.254902	0.376471	0.25098	0.12549	62
8BM	Anterior_Cingulate	19	0.411765	0.32549	0.317647	0.509804	0.321569	0.360784	0.376471	0.25098	0.12549	63
p32	Anterior_Cingulate	19	0.372549	0.12549	0.203922	0.439216	0.215686	0.313726	0.376471	0.25098	0.12549	64
10r	Anterior_Cingulate	19	0.0980392	0.0470588	0.00392157	0.101961	0.0156863	0.0313726	0.376471	0.25098	0.12549	65
47m	Orbital_and_Polar_Frontal_Cortex	20	0.376471	0.294118	0.258824	0.309804	0.203922	0.196078	0.752941	0.752941	0.752941	66
8Av	DorsoLateral_Prefrontal_Cortex	22	0.207843	0.211765	0.168627	0.309804	0.266667	0.254902	0.878431	0.752941	0.752941	67
8Ad	DorsoLateral_Prefrontal_Cortex	22	0.247059	0.262745	0.188235	0.215686	0.243137	0.172549	0.878431	0.752941	0.752941	68
9m	Anterior_Cingulate	19	0.168627	0.137255	0.0705882	0.168627	0.0980392	0.0745098	0.376471	0.25098	0.12549	69
8BL	DorsoLateral_Prefrontal_Cortex	22	0.133333	0.152941	0.0784314	0.137255	0.141176	0.0862745	0.878431	0.752941	0.752941	70
9p	DorsoLateral_Prefrontal_Cortex	22	0.14902	0.168627	0.109804	0.243137	0.207843	0.192157	0.878431	0.752941	0.752941	71
10d	Orbital_and_Polar_Frontal_Cortex	20	0.14902	0.137255	0.0941176	0.109804	0.0901961	0.0705882	0.752941	0.752941	0.752941	72
8C	DorsoLateral_Prefrontal_Cortex	22	0.396078	0.333333	0.329412	0.466667	0.34902	0.368627	0.878431	0.752941	0.752941	73
44	Inferior_Frontal_Cortex	21	0.345098	0.345098	0.243137	0.537255	0.4	0.368627	0.188235	0.12549	0.0627451	74
45	Inferior_Frontal_Cortex	21	0.235294	0.247059	0.164706	0.356863	0.258824	0.223529	0.188235	0.12549	0.0627451	75
47l	Inferior_Frontal_Cortex	21	0.2	0.192157	0.121569	0.2	0.101961	0.105882	0.188235	0.12549	0.0627451	76
a47r	Orbital_and_Polar_Frontal_Cortex	20	0.301961	0.298039	0.258824	0.321569	0.27451	0.270588	0.752941	0.752941	0.752941	77
6r	Premotor_Cortex	8	0.698039	0.839216	0.592157	0.74902	0.843137	0.639216	0.501961	1	0.501961	78
IFJa	Inferior_Frontal_Cortex	21	0.494118	0.466667	0.372549	0.541176	0.482353	0.407843	0.188235	0.12549	0.0627451	79
