contrast,parcel,f_stat,p_value,native_mean,native_sd,native_se,native_ci_lower,native_ci_upper,l2_high_mean,l2_high_sd,l2_high_se,l2_high_ci_lower,l2_high_ci_upper,l2_low_mean,l2_low_sd,l2_low_se,l2_low_ci_lower,l2_low_ci_upper,n_native,n_l2_high,n_l2_low,p_fdr,significant_fdr
real_vs_rest,161,3.019148505185361,0.06556506545477792,0.2030210743916871,0.9745170176798316,0.2516192120046471,-0.3366484619402477,0.742690610723622,-0.901986730320562,0.8084338688797804,0.28582453541288444,-1.577854358458109,-0.2261191021830149,-0.4903262563732885,1.4666739603271717,0.5543506504914156,-1.8467734327506613,0.8661209200040844,15,8,7,0.3278253272738896,False
real_vs_rest,27,2.9042250977729767,0.07204496827132165,-0.70275313353113,1.2161306727040542,0.31400358947965495,-1.3762238522055008,-0.029282414856759087,-1.3757671992763847,0.9594481528790223,0.339216147548832,-2.1778859283022287,-0.5736484702505404,-2.0784320132071175,1.6505756331559094,0.6238589493476449,-3.6049598698087246,-0.5519041566055103,15,8,7,0.33469056030919997,False
real_vs_rest,38,2.8995660282478433,0.07232177430340933,-0.9676074256082606,1.2767810889248976,0.32966345961057997,-1.6746652252739611,-0.26054962594256015,-1.2737658513761412,0.765433288000205,0.2706215342454303,-1.9136840942561326,-0.6338476084961496,-2.327013573275196,1.558690734340697,0.5891297219894469,-3.7685620718729202,-0.8854650746774722,15,8,7,0.33469056030919997,False
real_vs_rest,65,2.85791941434195,0.0748474495021956,0.3977268491878236,1.167263159211674,0.30138605175121796,-0.24868194253229509,1.0441356409079423,-0.46379801018020134,1.3366819092089148,0.4725884211455023,-1.5812920518428002,0.6536960314823976,-0.8061963061429195,1.1135052697044443,0.4208654324568377,-1.8360169205588122,0.2236243082729733,15,8,7,0.33469056030919997,False
real_vs_rest,92,2.837878306365539,0.07609646929735821,-0.4093282848622362,0.8891653122517552,0.22958149642509104,-0.9017316221870204,0.08307505246254793,0.5630038320264457,1.2661283657103568,0.4476439766232171,-0.49550597117624684,1.6215136352291382,-0.07957690273875163,0.442862086544529,0.1673861351565697,-0.48915602057071716,0.3300022150932139,15,8,7,0.33469056030919997,False
real_vs_rest,155,2.8328911925221902,0.07641074692741065,-0.12261102795462518,1.3113078576546557,0.3385782329631605,-0.8487891148327448,0.6035670589234944,-0.7067120949717356,0.9657189695818406,0.3414332160559023,-1.5140733579568408,0.10064916801336976,-1.3998672154683083,1.1094770746497107,0.4193429178357969,-2.4259623708144344,-0.3737720601221819,15,8,7,0.33469056030919997,False
real_vs_rest,108,2.8054086110349608,0.07816783888941328,-1.802308660044739,1.2153811493041937,0.31381006336997147,-2.4753643064952966,-1.1292530135941818,-0.7039425295830142,1.0312319687894862,0.3645955590536999,-1.566074030544422,0.1581889713783936,-1.7659539368104429,0.9354942505881098,0.3535835914266968,-2.631141817042831,-0.9007660565780544,15,8,7,0.33469056030919997,False
real_vs_rest,10,2.778145386196988,0.07995385607386445,-1.6827215671735343,1.0528191490199137,0.27183673538149267,-2.2657533785067945,-1.099689755840274,-0.5943425723109763,0.9178962707598619,0.3245253387400708,-1.3617230585521107,0.17303791393015822,-1.1650873922403935,1.2329635973571973,0.4660164363146741,-2.3053885330871187,-0.0247862513936683,15,8,7,0.33469056030919997,False
real_vs_rest,176,2.661204371356796,0.08812733226099674,0.7548114338349425,1.0986899460743018,0.28368052425275303,0.14637722179609414,1.363245645873791,-0.12522736701950948,0.895062216216909,0.31645228133541803,-0.8735181059371016,0.6230633718980825,-0.12123553809130645,1.067240091046632,0.40337883858675994,-1.1082679987303468,0.8657969225477338,15,8,7,0.3491154304982638,False
real_vs_rest,106,2.6537880436372365,0.08867511141893394,-1.1175506657678738,1.242622135647031,0.3208436557993097,-1.8056918676291152,-0.4294094639066325,-0.2993207676112176,0.799138801399098,0.2825382327892959,-0.9674175248669542,0.36877598964451896,-1.5770502001901587,1.064380401274824,0.4022979774491886,-2.561437888902234,-0.5926625114780838,15,8,7,0.3491154304982638,False
real_vs_rest,147,2.646481121870542,0.08921838779400075,-1.6007192130386232,1.6205922809753388,0.41843512768065183,-2.498173304645272,-0.7032651214319745,-0.2973822020667255,1.2991663287399131,0.459324660470612,-1.3835124335701559,0.788748029436705,-1.9193683289673105,1.468637352597928,0.5550927430163425,-3.277631340338573,-0.5611053175960481,15,8,7,0.3491154304982638,False
real_vs_rest,49,2.543521883279348,0.09726571335540414,0.34581812012403645,1.2828996641202521,0.331243268932855,-0.364628033545528,1.0562642737936008,0.6082482826564777,1.1951931109733536,0.422564576798352,-0.39095816350494694,1.6074547288179022,-0.967912670398099,2.0451293450018238,0.7729862351193203,-2.859341849883503,0.9235165090873046,15,8,7,0.372506987318569,False
real_vs_rest,133,2.517170848199061,0.09944832351272422,-0.3414916490496687,0.7718992600304454,0.19930353193651623,-0.7689552112021096,0.08597191310277219,0.1042030628671137,0.6389834764036482,0.22591477461558693,-0.43000049198202106,0.6384066177162484,0.2738346913697174,0.27599434192376443,0.10431605599874409,0.018582497681687238,0.5290868850577475,15,8,7,0.3729312131727158,False
real_vs_rest,137,2.4262453227359373,0.10739274885368613,-0.6385886969139547,0.9351925398227897,0.24146567548207207,-1.1564810632769833,-0.1206963305509261,0.07898983355049412,1.0846100532265146,0.38346756178978536,-0.8277668627567867,0.985746529857775,-1.224163715513024,1.5967466873643175,0.6035135202188835,-2.7009081004628346,0.2525806694367867,15,8,7,0.3945039753808879,False
real_vs_rest,45,2.301458825655309,0.11942462683832285,-0.21990229146849063,1.480615378393218,0.38229324684370175,-1.0398397581797372,0.600035175242756,-0.44713077900263665,1.1391118023878533,0.40273683999904075,-1.3994520778742112,0.5051905198689379,-1.5772146453900966,1.4857168694328111,0.5615481935960913,-2.9512735752894272,-0.20315571549076594,15,8,7,0.4123793244670912,False
real_vs_rest,58,2.288353323975195,0.1207698641422577,-1.4289355412823606,0.9358062004499037,0.24162412197467445,-1.94716774157347,-0.910703340991251,-0.5931826204331166,1.10228985529103,0.3897183157547127,-1.5147200011566047,0.32835476029037125,-1.289024802198519,0.49216479114386935,0.18602080591838896,-1.7442013167597648,-0.833848287637273,15,8,7,0.4123793244670912,False
real_vs_rest,84,2.2727783690845955,0.12238978244496296,-1.3015746516475748,1.0396021542020601,0.2684241219937289,-1.8772871352157492,-0.7258621680794005,-0.5393482066176386,0.9518357449916977,0.33652475492968936,-1.3351028033857002,0.2564063901504231,-1.5280299629282708,0.84019326496968,0.3175632046201671,-2.3050791318009356,-0.750980794055606,15,8,7,0.4123793244670912,False
real_vs_rest,9,2.2565036085111587,0.12410745095715973,0.7497483378573383,1.2037239888002045,0.310800197470237,0.08314821172094922,1.4163484639937274,0.19885640036006844,0.4814755999066269,0.17022733083491845,-0.20366727441608787,0.6013800751362247,-0.28574913190038576,1.3184355882202201,0.498321812298266,-1.5050986800970563,0.9336004162962848,15,8,7,0.4123793244670912,False
real_vs_rest,41,2.198282468327315,0.13046739579959052,-0.4887271777938015,1.303255189091832,0.33649904288073756,-1.2104458454614897,0.23299148987388674,-0.44544186709267597,0.7428923107431777,0.2626520953089224,-1.0665153813918131,0.1756316472064613,-1.4566213013392793,0.8427574859668228,0.3185323890580314,-2.2360419790988995,-0.6772006235796592,15,8,7,0.4123793244670912,False
real_vs_rest,167,2.1906960922536225,0.13132155876811127,-0.41819528082881874,1.326536430230367,0.3425102334946432,-1.1528066701037483,0.3164161084461108,0.3083976478886811,1.084314012961599,0.38336289575037225,-0.5981115525634852,1.2149068483408476,-0.9764803232020486,0.9883334679906669,0.37355493838647436,-1.890536328993645,-0.06242431741045218,15,8,7,0.4123793244670912,False
real_vs_rest,53,2.1773096258789932,0.13284344897270506,0.6866984309745839,1.1360564608196344,0.29332851687371886,0.05757133279715876,1.3158255291520091,0.4380094983650201,0.33171215607504645,0.11727795748133787,0.16069119592738118,0.7153278008026591,-0.23189675326490272,1.016589356159584,0.38423466026764674,-1.172085097094472,0.7082915905646667,15,8,7,0.4123793244670912,False
real_vs_rest,148,2.163252790040949,0.13446196510504577,-1.1591219827798194,1.31457438075138,0.33942164560006816,-1.8871090098540002,-0.43113495570563853,-0.6673192644518103,0.6944173537686739,0.2455136099117235,-1.2478667005451622,-0.08677182835845842,-1.928467554846956,1.2861260791981317,0.48610996574754545,-3.117935790994305,-0.7389993186996076,15,8,7,0.4123793244670912,False
